time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.12308e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735463	0.629594	7.20081	-2.68311e-17	-4.12002e-17	radar	74.7453	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494951	7.20388	-0.127215	-0.0118717	lidar	0.221135	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25807	0.533065	7.1892	0.122872	0.0307635	radar	1.8248	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61577	0.595371	7.20261	0.161636	0.0463992	lidar	0.167625	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.8511	0.561772	6.0153	0.0249073	-0.237104	radar	7.7489	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16313	0.591065	6.01481	0.0395886	-0.180678	lidar	0.254795	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37911	0.636776	5.61747	0.0542971	-0.354336	radar	6.38447	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65678	0.653607	5.61455	0.0427983	-0.330924	lidar	0.00948386	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92329	0.646974	5.55061	-0.00589872	-0.488797	radar	0.455424	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15957	0.642188	5.50679	-0.0194456	-0.451819	lidar	1.21727	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44493	0.538128	5.53797	-0.167826	-0.865481	radar	1.2445	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74792	0.425928	5.60096	-0.285776	-1.08265	lidar	2.04504	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02912	0.509915	5.5607	-0.148977	-0.555842	radar	4.19328	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30326	0.50162	5.54404	-0.141903	-0.471471	lidar	0.391052	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56481	0.53567	5.4749	-0.103852	-0.340839	radar	2.20629	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75676	0.640239	5.32796	-0.00460629	-0.0967234	lidar	13.2582	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.01008	0.637538	5.27663	-0.014744	-0.112278	radar	2.25583	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.31101	0.636578	5.31926	-0.0185486	-0.108447	lidar	2.28253	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56843	0.645185	5.32071	-0.0111318	-0.0825865	radar	1.66417	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.86134	0.663443	5.3479	-0.000490414	-0.0566476	lidar	1.48054	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10594	0.587317	5.30681	-0.0581533	-0.15491	radar	3.9417	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.36309	0.70429	5.28152	0.0222729	-0.00907682	lidar	4.13325	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.61531	0.735504	5.25151	0.0367332	0.0127647	radar	0.910246	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.86368	0.735227	5.23801	0.0314546	0.00350327	lidar	0.372944	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.11097	0.715731	5.19133	0.0115157	-0.0332796	radar	3.78051	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.33447	0.804556	5.15003	0.0624313	0.0485112	lidar	3.65665	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.62095	0.816896	5.19993	0.06298	0.0471897	radar	3.55998	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.87099	0.794545	5.19106	0.0426541	0.0125422	lidar	0.600488	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.12408	0.81093	5.16162	0.0442661	0.0105035	radar	2.77307	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.36276	0.830605	5.14263	0.0501233	0.0188925	lidar	0.687779	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.62535	0.927006	5.17523	0.101614	0.0996888	radar	6.55076	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.86202	0.989863	5.15592	0.128215	0.133086	lidar	0.947078	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.14635	1.03117	5.19073	0.137819	0.136675	radar	6.43834	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.38326	1.06417	5.17083	0.143712	0.135827	lidar	0.844141	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.65696	1.14321	5.20125	0.172985	0.169117	radar	4.30524	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92356	1.27928	5.22275	0.23256	0.246224	lidar	2.65979	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1727	1.38542	5.20612	0.274025	0.295862	radar	4.22291	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3985	1.46434	5.18394	0.295019	0.306499	lidar	1.14619	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6321	1.57191	5.15088	0.335888	0.356487	radar	3.91249	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8635	1.58982	5.12384	0.316571	0.302497	lidar	2.09397	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1261	1.64291	5.14095	0.311645	0.269232	radar	1.94146	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4053	1.67262	5.1607	0.29199	0.218484	lidar	2.03505	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6389	1.73842	5.13496	0.301742	0.221487	radar	1.15636	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8721	1.7957	5.11805	0.303339	0.20819	lidar	0.586616	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1226	1.8878	5.14169	0.317871	0.209082	radar	1.11447	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3701	1.90281	5.12332	0.291301	0.154868	lidar	1.0756	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6239	1.95884	5.13872	0.284734	0.128606	radar	0.999696	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8223	2.10131	5.11729	0.336509	0.196267	lidar	3.30112	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0818	2.2036	5.16217	0.346304	0.185128	radar	3.54627	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.283	2.34955	5.14434	0.393275	0.241236	lidar	2.34499	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4642	2.52039	5.09754	0.462005	0.340121	radar	10.366	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7126	2.62192	5.11254	0.467557	0.322528	lidar	0.795249	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9313	2.744	5.10404	0.489936	0.334975	radar	0.18045	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1577	2.88912	5.11731	0.518064	0.350577	lidar	0.310533	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4067	2.98673	5.14443	0.503214	0.286211	radar	1.78876	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6201	3.05306	5.10553	0.490648	0.250295	lidar	2.51625	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8474	3.2007	5.13449	0.508785	0.246494	radar	3.81696	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0492	3.39295	5.1508	0.558574	0.299396	lidar	0.954443	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
